Box SKU,QTY,WH,Dog Size List,Heavy Chewer,Allergies,Extra Toy,Extra Treat,Item SKUs,Theme,Info Card Name,,[400 SKU],[Percent of Plan],[Year],[Month],[Cohort],[Species],[Add Ons],[Product List],[P],[A],[W],[S],[Total PAWS],[Paper SKU],[Cardboard SKU],[Info Card 1],[Info Card 2],[XT Insert],[XTR Insert],,[All COG],[Base COG],[Freight COG],[Extra Toy COG],[Extra Treat COG],[Base Kit Cost],[XT Unit Cost],[Full Kit Cost],[Potential Add QTY],[QTY To Build],[QTY Overbuilt],[Total Built],[Back Ordered],[Available],[Shipped]
601327C,38780,CT,"L,",NO,NO,NO,NO,"204759,204771,204752,204751,204774,IN-COL0716,",Olympics,Olympics,,201JUL-198,0.163049419,2016,JULY,CONTINUITY,L0000,None,"204759,204771,204752-1711,204751,204774,",4,4,4,4,16,500021-16,500007,IN-COL0716,,,,,359800.84,338471.84,21329,0,0,8.728,,8.728,36,38780,0,None Found,None Found,None Found,None Found
601326XTN,80,NV,"M,",YES,YES,YES,YES,"204779,204773,204754,204780,204382,204772,204768,IN-COL0716,XT-204772,XTR-204768,",Olympics,Olympics,,201JUL-189XT,0.000336358,2016,JULY,CONTINUITY,MHAXT,XT,"204779,204773,204754,204780,204382,204772,204768,",4,3,4,4,15,500021-16R,500003,IN-COL0716,,XT-204772,XTR-204768,,1063.04,631.84,72,215.2,144,7.898,2.69,12.388,11,80,0,None Found,None Found,None Found,None Found
601326XN,490,NV,"M,",YES,YES,YES,NO,"204779,204773,204754,204780,204382,204772,IN-COL0716,XT-204772,",Olympics,Olympics,,201JUL-189X,0.002060191,2016,JULY,CONTINUITY,MHAX0,X,"204779,204773,204754,204780,204382,204772,",4,3,4,4,15,500021-16R,500003,IN-COL0716,,XT-204772,,,5604.62,3870.02,416.5,1318.1,0,7.898,2.69,10.588,11,490,0,None Found,None Found,None Found,None Found
601326TN,40,NV,"M,",YES,YES,NO,YES,"204779,204773,204754,204780,204382,204768,IN-COL0716,XTR-204768,",Olympics,Olympics,,201JUL-189T,0.000168179,2016,JULY,CONTINUITY,MHA0T,T,"204779,204773,204754,204780,204382,204768,",4,3,4,4,15,500021-16R,500003,IN-COL0716,,,XTR-204768,,413.92,315.92,26,0,72,7.898,,9.698,11,40,0,None Found,None Found,None Found,None Found
601326N,640,NV,"M,",YES,YES,NO,NO,"204779,204773,204754,204780,204382,IN-COL0716,",Olympics,Olympics,,201JUL-189,0.002690862,2016,JULY,CONTINUITY,MHA00,None,"204779,204773,204754,204780,204382,",4,3,4,4,15,500021-16R,500003,IN-COL0716,,,,,5438.72,5054.72,384,0,0,7.898,,7.898,11,640,0,None Found,None Found,None Found,None Found
601325XTC,6,CT,"M,",YES,YES,YES,YES,"204779,204773,204754,204780,204382,204772,204768,IN-COL0716,XT-204772,XTR-204768,",Olympics,Olympics,,201JUL-180XT,2.52E-05,2016,JULY,CONTINUITY,MHAXT,XT,"204779,204773,204754-1711,204780,204382,204772,204768,",4,3,4,4,15,500021-16,500003,IN-COL0716,,XT-204772,XTR-204768,,79.728,47.388,5.4,16.14,10.8,7.898,2.69,12.388,87,6,0,None Found,None Found,None Found,None Found
601325XC,580,CT,"M,",YES,YES,YES,NO,"204779,204773,204754,204780,204382,204772,IN-COL0716,XT-204772,",Olympics,Olympics,,201JUL-180X,0.002438594,2016,JULY,CONTINUITY,MHAX0,X,"204779,204773,204754-1711,204780,204382,204772,",4,3,4,4,15,500021-16,500003,IN-COL0716,,XT-204772,,,6634.04,4580.84,493,1560.2,0,7.898,2.69,10.588,87,580,0,None Found,None Found,None Found,None Found
601325TC,5,CT,"M,",YES,YES,NO,YES,"204779,204773,204754,204780,204382,204768,IN-COL0716,XTR-204768,",Olympics,Olympics,,201JUL-180T,2.10E-05,2016,JULY,CONTINUITY,MHA0T,T,"204779,204773,204754-1711,204780,204382,204768,",4,3,4,4,15,500021-16,500003,IN-COL0716,,,XTR-204768,,51.74,39.49,3.25,0,9,7.898,,9.698,87,5,0,None Found,None Found,None Found,None Found
601325C,1240,CT,"M,",YES,YES,NO,NO,"204779,204773,204754,204780,204382,IN-COL0716,",Olympics,Olympics,,201JUL-180,0.005213545,2016,JULY,CONTINUITY,MHA00,None,"204779,204773,204754-1711,204780,204382,",4,3,4,4,15,500021-16,500003,IN-COL0716,,,,,10537.52,9793.52,744,0,0,7.898,,7.898,87,1240,0,None Found,None Found,None Found,None Found
601324N,640,NV,"M,",NO,YES,NO,NO,"204760,204779,204754,204780,204382,IN-COL0716,",Olympics,Olympics,,201JUL-171,0.002690862,2016,JULY,CONTINUITY,M0A00,None,"204760,204779,204754,204780,204382,",4,4,4,4,16,500021-16R,500003,IN-COL0716,,,,,5483.52,5099.52,384,0,0,7.968,,7.968,-35654,640,0,None Found,None Found,None Found,None Found
601323C,810,CT,"M,",NO,YES,NO,NO,"204759,204779,204752,204780,204382,IN-COL0716,",Olympics,Olympics,,201JUL-162,0.003405622,2016,JULY,CONTINUITY,M0A00,None,"204759,204779,204752,204780,204382,",4,4,4,4,16,500021-16,500007,IN-COL0716,,,,,7555.68,7069.68,486,0,0,8.728,,8.728,-1380,810,0,None Found,None Found,None Found,None Found
601322XN,500,NV,"M,",YES,NO,YES,NO,"204756,204773,204754,204757,203129,204772,IN-COL0716,XT-204772,",Olympics,Olympics,,201JUL-153X,0.002102236,2016,JULY,CONTINUITY,MH0X0,X,"204756,204773,204754,204757,203129,204772,",4,3,4,4,15,500021-16R,500001,IN-COL0716,,XT-204772,,,6484,4689,450,1345,0,9.378,2.69,12.068,43,500,0,None Found,None Found,None Found,None Found
601322N,1800,NV,"M,",YES,NO,NO,NO,"204756,204773,204754,204757,203129,IN-COL0716,",Olympics,Olympics,,201JUL-153,0.007568049,2016,JULY,CONTINUITY,MH000,None,"204756,204773,204754,204757,203129,",4,3,4,4,15,500021-16R,500001,IN-COL0716,,,,,18050.4,16880.4,1170,0,0,9.378,,9.378,43,1800,0,None Found,None Found,None Found,None Found
601321XC,890,CT,"M,",YES,NO,YES,NO,"204756,204773,204754,204757,203129,204772,IN-COL0716,XT-204772,",Olympics,Olympics,,201JUL-144X,0.00374198,2016,JULY,CONTINUITY,MH0X0,X,"204756,204773,204754-1711,204757,203129,204772,",4,3,4,4,15,500021-16,500001,IN-COL0716,,XT-204772,,,11541.52,8346.42,801,2394.1,0,9.378,2.69,12.068,93,890,0,None Found,None Found,None Found,None Found
601321C,2800,CT,"M,",YES,NO,NO,NO,"204756,204773,204754,204757,203129,IN-COL0716,",Olympics,Olympics,,201JUL-144,0.011772521,2016,JULY,CONTINUITY,MH000,None,"204756,204773,204754-1711,204757,203129,",4,3,4,4,15,500021-16,500001,IN-COL0716,,,,,28078.4,26258.4,1820,0,0,9.378,,9.378,93,2800,0,None Found,None Found,None Found,None Found
601320XN,5880,NV,"M,",NO,NO,YES,NO,"204760,204756,204754,204757,203129,204772,IN-COL0716,XT-204772,",Olympics,Olympics,,201JUL-135X,0.024722295,2016,JULY,CONTINUITY,M00X0,X,"204760,204756,204754,204757,203129,204772,",4,4,4,4,16,500021-16R,500001,IN-COL0716,,XT-204772,,,76663.44,55554.24,5292,15817.2,0,9.448,2.69,12.138,-35654,5880,0,None Found,None Found,None Found,None Found
601320N,18830,NV,"M,",NO,NO,NO,NO,"204760,204756,204754,204757,203129,IN-COL0716,",Olympics,Olympics,,201JUL-135,0.079170205,2016,JULY,CONTINUITY,M0000,None,"204760,204756,204754,204757,203129,",4,4,4,4,16,500021-16R,500001,IN-COL0716,,,,,190145.34,177905.84,12239.5,0,0,9.448,,9.448,-35654,18830,0,None Found,None Found,None Found,None Found
601319XC,5500,CT,"M,",NO,NO,YES,NO,"204760,204756,204754,204757,203129,204772,IN-COL0716,XT-204772,",Olympics,Olympics,,201JUL-126X,0.023124595,2016,JULY,CONTINUITY,M00X0,X,"204760,204756,204754-1711,204757,203129,204772,",4,4,4,4,16,500021-16,500001,IN-COL0716,,XT-204772,,,71709,51964,4950,14795,0,9.448,2.69,12.138,93,5500,0,None Found,None Found,None Found,None Found
601319C,29420,CT,"M,",NO,NO,NO,NO,"204760,204756,204754,204757,203129,IN-GEN0716,",Olympics,Olympics,,201JUL-126,0.123695563,2016,JULY,CONTINUITY,M0000,None,"204760,204756,204754-1711,204757,203129,",4,4,4,4,16,500021-16,500001,IN-GEN0716,,,,,297083.16,277960.16,19123,0,0,9.448,,9.448,93,29420,0,None Found,None Found,None Found,None Found
601318XTN,25,NV,"S,XS",YES,YES,YES,YES,"204772,204775,204780,204768,203129,204773,204752,IN-COL0716,XT-204773,XTR-204752,",Olympics,Olympics,,201JUL-117XT,0.000105112,2016,JULY,CONTINUITY,SHAXT,XT,"204772,204775,204780,204768,203129,204773,204752,",4,4,4,4,16,500021-16R,500007,IN-COL0716,,XT-204773,XTR-204752,,341.7,243.5,23.75,54.5,19.95,9.74,2.18,12.718,4,25,0,None Found,None Found,None Found,None Found
601318XN,450,NV,"S,XS",YES,YES,YES,NO,"204772,204775,204780,204768,203129,204773,IN-COL0716,XT-204773,",Olympics,Olympics,,201JUL-117X,0.001892012,2016,JULY,CONTINUITY,SHAX0,X,"204772,204775,204780,204768,203129,204773,",4,4,4,4,16,500021-16R,500023,IN-COL0716,,XT-204773,,,5769,4383,405,981,0,9.74,2.18,11.92,43,450,0,None Found,None Found,None Found,None Found
