Box SKU,QTY,WH,Dog Size List,Heavy Chewer,Allergies,Extra Toy,Extra Treat,Item SKUs,Theme,Info Card Name,,[400 SKU],[Percent of Plan],[Year],[Month],[Cohort],[Species],[Add Ons],[Product List],[P],[A],[W],[S],[Total PAWS],[Paper SKU],[Cardboard SKU],[Info Card 1],[Info Card 2],[XT Insert],[XTR Insert],,[All COG],[Base COG],[Freight COG],[Extra Toy COG],[Extra Treat COG],[Base Kit Cost],[XT Unit Cost],[Full Kit Cost],[Potential Add QTY],[QTY To Build],[QTY Overbuilt],[Total Built],[Back Ordered],[Available],[Shipped]
601326XN,490,NV,"M,",YES,YES,YES,NO,#N/A,Olympics,#N/A,,201JUL-189X,0.21%,2016,JULY,CONTINUITY,MHAX0,X,"204779,204773,204754,204780,204382,204772,",Missing,Missing,Missing,Missing,0,#N/A,500003,#N/A,#N/A,XT-204772,,,5604.62,"$3,870.02 ",$416.50 ,"$1,318.10 ",$0.00 ,$7.90 ,$2.69 ,$10.59 ,14,490,0,None Found,None Found,None Found,None Found
601326TN,40,NV,"M,",YES,YES,NO,YES,#N/A,Olympics,#N/A,,201JUL-189T,0.02%,2016,JULY,CONTINUITY,MHA0T,T,"204779,204773,204754,204780,204382,204768,",Missing,Missing,Missing,Missing,0,#N/A,500003,#N/A,#N/A,,XTR-204768,,413.92,$315.92 ,$26.00 ,$0.00 ,$72.00 ,$7.90 ,,$9.70 ,14,40,0,None Found,None Found,None Found,None Found
601326N,640,NV,"M,",YES,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-189,0.27%,2016,JULY,CONTINUITY,MHA00,None,"204779,204773,204754,204780,204382,",Missing,Missing,Missing,Missing,0,#N/A,500003,#N/A,#N/A,,,,5438.72,"$5,054.72 ",$384.00 ,$0.00 ,$0.00 ,$7.90 ,,$7.90 ,14,640,0,None Found,None Found,None Found,None Found
601325XTC,6,CT,"M,",YES,YES,YES,YES,#N/A,Olympics,#N/A,,201JUL-180XT,0.00%,2016,JULY,CONTINUITY,MHAXT,XT,"204779,204773,204754-1711,204780,204382,204772,204768,",Missing,Missing,Missing,Missing,0,#N/A,500003,#N/A,#N/A,XT-204772,XTR-204768,,79.728,$47.39 ,$5.40 ,$16.14 ,$10.80 ,$7.90 ,$2.69 ,$12.39 ,94,6,0,None Found,None Found,None Found,None Found
601325XC,580,CT,"M,",YES,YES,YES,NO,#N/A,Olympics,#N/A,,201JUL-180X,0.24%,2016,JULY,CONTINUITY,MHAX0,X,"204779,204773,204754-1711,204780,204382,204772,",Missing,Missing,Missing,Missing,0,#N/A,500003,#N/A,#N/A,XT-204772,,,6634.04,"$4,580.84 ",$493.00 ,"$1,560.20 ",$0.00 ,$7.90 ,$2.69 ,$10.59 ,94,580,0,None Found,None Found,None Found,None Found
601325TC,5,CT,"M,",YES,YES,NO,YES,#N/A,Olympics,#N/A,,201JUL-180T,0.00%,2016,JULY,CONTINUITY,MHA0T,T,"204779,204773,204754-1711,204780,204382,204768,",Missing,Missing,Missing,Missing,0,#N/A,500003,#N/A,#N/A,,XTR-204768,,51.74,$39.49 ,$3.25 ,$0.00 ,$9.00 ,$7.90 ,,$9.70 ,94,5,0,None Found,None Found,None Found,None Found
601325C,"1,240",CT,"M,",YES,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-180,0.52%,2016,JULY,CONTINUITY,MHA00,None,"204779,204773,204754-1711,204780,204382,",Missing,Missing,Missing,Missing,0,#N/A,500003,#N/A,#N/A,,,,10537.52,"$9,793.52 ",$744.00 ,$0.00 ,$0.00 ,$7.90 ,,$7.90 ,94,"1,240",0,None Found,None Found,None Found,None Found
601324N,640,NV,"M,",NO,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-171,0.27%,2016,JULY,CONTINUITY,M0A00,None,"204760,204779,204754,204780,204382,",Missing,Missing,Missing,Missing,0,#N/A,500003,#N/A,#N/A,,,,5483.52,"$5,099.52 ",$384.00 ,$0.00 ,$0.00 ,$7.97 ,,$7.97 ,-35654,640,0,None Found,None Found,None Found,None Found
601323C,810,CT,"M,",NO,YES,NO,NO,#N/A,Olympics,#N/A,,201JUL-162,0.34%,2016,JULY,CONTINUITY,M0A00,None,"204759,204779,204752,204780,204382,",Missing,Missing,Missing,Missing,0,#N/A,#N/A,#N/A,#N/A,,,,7555.68,"$7,069.68 ",$486.00 ,$0.00 ,$0.00 ,$8.73 ,,$8.73 ,-1380,810,0,None Found,None Found,None Found,None Found
601322XN,500,NV,"M,",YES,NO,YES,NO,#N/A,Olympics,#N/A,,201JUL-153X,0.21%,2016,JULY,CONTINUITY,MH0X0,X,"204756,204773,204754,204757,203129,204772,",Missing,Missing,Missing,Missing,0,#N/A,500001,#N/A,#N/A,XT-204772,,,6484,"$4,689.00 ",$450.00 ,"$1,345.00 ",$0.00 ,$9.38 ,$2.69 ,$12.07 ,43,500,0,None Found,None Found,None Found,None Found
